round,train_logloss,val_pr_auc,time_s
502,0.2073,0.7286,0.1
503,0.207,0.7292,0.1
504,0.2068,0.7294,0.1
505,0.2065,0.7296,0.1
506,0.2064,0.7298,0.1
507,0.2062,0.73,0.1
508,0.2061,0.7302,0.1
509,0.2059,0.7305,0.1
510,0.2057,0.7308,0.1
511,0.2055,0.7311,0.1
512,0.2052,0.7314,0.1
513,0.205,0.7317,0.1
514,0.2048,0.7319,0.1
515,0.2047,0.7321,0.1
516,0.2044,0.7323,0.1
517,0.2043,0.7325,0.1
518,0.2041,0.7326,0.1
519,0.2039,0.7328,0.1
520,0.2036,0.7331,0.1
521,0.2033,0.7333,0.1
522,0.2032,0.7335,0.1
523,0.203,0.7337,0.1
524,0.2028,0.7338,0.1
525,0.2027,0.734,0.1
526,0.2025,0.7341,0.1
527,0.2024,0.7343,0.1
528,0.2021,0.7347,0.1
529,0.2019,0.7348,0.1
530,0.2019,0.7349,0.1
531,0.2015,0.7355,0.2
532,0.2014,0.7356,0.1
533,0.2012,0.7356,0.1
534,0.2011,0.7358,0.1
535,0.201,0.7359,0.1
536,0.2008,0.7361,0.1
537,0.2005,0.7365,0.1
538,0.2005,0.7366,0.1
539,0.2003,0.737,0.1
540,0.2,0.7373,0.1
541,0.1998,0.7376,0.1
542,0.1997,0.7377,0.1
543,0.1994,0.7378,0.1
544,0.1993,0.7381,0.1
545,0.1992,0.7381,0.1
546,0.199,0.7385,0.1
547,0.1988,0.7386,0.1
548,0.1987,0.7388,0.1
549,0.1986,0.7391,0.1
550,0.1985,0.739,0.1
551,0.1983,0.7394,0.1
552,0.1981,0.7396,0.1
553,0.1978,0.7399,0.1
554,0.1975,0.7404,0.1
555,0.1973,0.7406,0.1
556,0.1971,0.7409,0.1
557,0.197,0.7411,0.1
558,0.1967,0.7415,0.1
559,0.1965,0.7416,0.1
560,0.1963,0.7417,0.1
561,0.1961,0.742,0.1
562,0.1959,0.7421,0.1
563,0.1959,0.7422,0.1
564,0.1958,0.7425,0.1
565,0.1956,0.7426,0.1
566,0.1955,0.7426,0.1
567,0.1953,0.7427,0.1
568,0.1952,0.7429,0.1
569,0.1952,0.743,0.1
570,0.1948,0.7433,0.1
571,0.1947,0.7434,0.1
572,0.1944,0.7438,0.1
573,0.1943,0.7439,0.1
574,0.1941,0.7442,0.1
575,0.194,0.7443,0.1
576,0.1938,0.7445,0.1
577,0.1937,0.7447,0.1
578,0.1936,0.7448,0.1
579,0.1933,0.7451,0.1
580,0.1931,0.7453,0.1
581,0.193,0.7453,0.1
582,0.1929,0.7454,0.1
583,0.1929,0.7453,0.1
584,0.1927,0.7454,0.1
585,0.1925,0.7455,0.1
586,0.1922,0.7457,0.1
587,0.1921,0.7458,0.1
588,0.1919,0.7459,0.1
589,0.1918,0.7459,0.1
590,0.1916,0.7462,0.1
591,0.1914,0.7462,0.1
592,0.1912,0.7463,0.1
593,0.1911,0.7465,0.1
594,0.1908,0.7469,0.1
595,0.1907,0.7468,0.1
596,0.1907,0.7468,0.1
597,0.1905,0.7471,0.1
598,0.1903,0.7472,0.1
599,0.1901,0.7474,0.1
600,0.1899,0.7475,0.1
601,0.1897,0.7475,0.1
602,0.1896,0.7475,0.1
603,0.1895,0.7476,0.1
604,0.1894,0.7479,0.1
605,0.1891,0.7481,0.1
606,0.1891,0.7482,0.1
607,0.1887,0.7486,0.1
608,0.1886,0.7487,0.1
609,0.1884,0.7487,0.1
610,0.1883,0.7491,0.1
611,0.1881,0.7492,0.1
612,0.188,0.7493,0.1
613,0.1879,0.7493,0.1
614,0.1878,0.7493,0.1
615,0.1877,0.7494,0.1
616,0.1875,0.7495,0.1
617,0.1873,0.7496,0.1
618,0.1871,0.7499,0.1
619,0.187,0.75,0.1
620,0.1868,0.7501,0.1
621,0.1867,0.7503,0.1
622,0.1865,0.7503,0.1
623,0.1862,0.7504,0.1
624,0.186,0.7505,0.1
625,0.1859,0.7505,0.1
626,0.1858,0.7506,0.1
627,0.1857,0.7507,0.1
628,0.1855,0.7509,0.1
629,0.1852,0.7513,0.1
630,0.185,0.7514,0.1
631,0.185,0.7514,0.1
632,0.1849,0.7515,0.1
633,0.1847,0.7516,0.1
634,0.1845,0.7517,0.1
635,0.1843,0.7519,0.1
636,0.1842,0.7521,0.1
637,0.184,0.7523,0.1
638,0.1839,0.7525,0.1
639,0.1837,0.7527,0.1
640,0.1835,0.753,0.1
641,0.1834,0.7532,0.1
642,0.1833,0.7533,0.1
643,0.1832,0.7534,0.1
644,0.183,0.7536,0.1
645,0.1828,0.7538,0.1
646,0.1826,0.7539,0.1
647,0.1825,0.754,0.1
648,0.1823,0.7542,0.1
649,0.1821,0.7543,0.1
650,0.182,0.7544,0.1
651,0.1818,0.7545,0.1
652,0.1816,0.7546,0.1
653,0.1814,0.7547,0.1
654,0.1812,0.7549,0.1
655,0.1811,0.7552,0.1
656,0.1811,0.7552,0.1
657,0.1809,0.7555,0.1
658,0.1807,0.7557,0.1
659,0.1804,0.756,0.1
660,0.1803,0.7562,0.1
661,0.1801,0.7562,0.1
662,0.1799,0.7565,0.1
663,0.1797,0.7567,0.1
664,0.1795,0.7569,0.1
665,0.1793,0.7569,0.1
666,0.1792,0.7571,0.1
667,0.1791,0.7571,0.1
668,0.1789,0.7574,0.1
669,0.1788,0.7576,0.1
670,0.1787,0.7577,0.1
671,0.1786,0.7577,0.1
672,0.1784,0.7576,0.1
673,0.1783,0.7577,0.1
674,0.1782,0.7579,0.1
675,0.1781,0.758,0.1
676,0.1779,0.7581,0.1
677,0.1778,0.7583,0.1
678,0.1777,0.7586,0.1
679,0.1775,0.7587,0.1
680,0.1774,0.7587,0.1
