round,train_logloss,val_pr_auc,time_s
367,0.2368,0.6897,0.1
368,0.2363,0.6902,0.1
369,0.236,0.6903,0.1
370,0.236,0.6903,0.1
371,0.2358,0.6904,0.1
372,0.2357,0.6906,0.1
373,0.2354,0.691,0.1
374,0.2351,0.6912,0.1
375,0.2349,0.6918,0.1
376,0.2346,0.6921,0.1
377,0.2344,0.6924,0.1
378,0.234,0.6928,0.1
379,0.2336,0.6932,0.1
380,0.2333,0.6935,0.1
381,0.2332,0.6937,0.1
382,0.2331,0.6941,0.1
383,0.2328,0.6943,0.1
384,0.2326,0.6945,0.1
385,0.2323,0.695,0.1
386,0.232,0.6951,0.1
387,0.2319,0.6953,0.1
388,0.2316,0.6956,0.1
389,0.2315,0.6958,0.1
390,0.2314,0.6962,0.1
391,0.2311,0.6964,0.1
392,0.231,0.6967,0.1
393,0.2307,0.6969,0.1
394,0.2306,0.6971,0.1
395,0.2304,0.6972,0.1
396,0.2301,0.6975,0.1
397,0.2299,0.698,0.1
398,0.2298,0.6983,0.1
399,0.2295,0.6985,0.1
400,0.2291,0.6989,0.1
401,0.2289,0.6992,0.1
402,0.2286,0.6996,0.1
403,0.2284,0.6998,0.1
404,0.2282,0.6999,0.1
405,0.228,0.7002,0.1
406,0.2278,0.7004,0.1
407,0.2277,0.7006,0.1
408,0.2276,0.7006,0.1
409,0.2274,0.7008,0.1
410,0.2271,0.7012,0.1
411,0.2268,0.7013,0.1
412,0.2265,0.7017,0.1
413,0.2263,0.702,0.1
414,0.2261,0.7021,0.1
415,0.2259,0.7025,0.1
416,0.2257,0.7027,0.1
417,0.2254,0.703,0.1
418,0.2252,0.7031,0.1
419,0.2251,0.7033,0.1
420,0.2251,0.7035,0.1
421,0.2249,0.7038,0.1
422,0.2246,0.7039,0.1
423,0.2244,0.7041,0.1
424,0.2242,0.7042,0.1
425,0.224,0.7044,0.1
426,0.2236,0.7046,0.1
427,0.2233,0.7048,0.1
428,0.2231,0.7052,0.1
429,0.2228,0.7056,0.1
430,0.2226,0.7059,0.1
431,0.2226,0.7059,0.1
432,0.2224,0.7062,0.1
433,0.2221,0.7066,0.1
434,0.2218,0.7065,0.1
435,0.2216,0.7066,0.1
436,0.2214,0.7069,0.1
437,0.2213,0.707,0.1
438,0.221,0.7074,0.1
439,0.2206,0.7077,0.1
440,0.2203,0.708,0.1
441,0.2201,0.7082,0.1
442,0.2198,0.7085,0.1
443,0.2195,0.7085,0.1
444,0.2193,0.7086,0.1
445,0.2191,0.7086,0.1
446,0.2189,0.709,0.1
447,0.2186,0.7093,0.1
448,0.2183,0.7098,0.1
449,0.2182,0.71,0.1
450,0.2182,0.7099,0.1
451,0.2179,0.7102,0.1
452,0.2177,0.7104,0.1
453,0.2176,0.7105,0.1
454,0.2173,0.7109,0.1
455,0.2172,0.7111,0.1
456,0.217,0.7114,0.1
457,0.2169,0.7115,0.1
458,0.2166,0.7116,0.1
459,0.2164,0.7118,0.1
460,0.2162,0.7119,0.1
461,0.216,0.7122,0.1
462,0.2157,0.7123,0.1
463,0.2155,0.7125,0.1
464,0.2152,0.7129,0.1
465,0.2151,0.713,0.1
466,0.2149,0.713,0.1
467,0.2149,0.7133,0.1
468,0.2147,0.7134,0.1
469,0.2146,0.7135,0.1
470,0.2145,0.7135,0.1
471,0.2145,0.7138,0.1
472,0.2143,0.7139,0.1
473,0.2142,0.7142,0.1
474,0.2141,0.7145,0.1
475,0.2139,0.7145,0.1
476,0.2137,0.7147,0.1
477,0.2137,0.7147,0.1
478,0.2134,0.715,0.1
479,0.2132,0.7151,0.1
480,0.213,0.7152,0.1
481,0.2129,0.7153,0.1
482,0.2126,0.7153,0.1
483,0.2125,0.7154,0.1
484,0.2124,0.7155,0.1
485,0.2121,0.7157,0.1
486,0.2119,0.7158,0.1
487,0.2119,0.7159,0.1
488,0.2118,0.716,0.1
489,0.2116,0.7162,0.1
490,0.2113,0.717,0.1
491,0.211,0.7171,0.1
492,0.2107,0.7172,0.1
493,0.2106,0.7177,0.1
494,0.2103,0.718,0.1
495,0.2101,0.7184,0.1
